name,date,area,Q_cms,Ca,Mg,Na,K,Cl,SO4,NO3,X_pyrite,X_pyrite_sd,X_rain,X_rain_sd,X_fertilizer,X_fertilizer_sd
SH,2008-09-29T00:00:00Z,0.08,1.8495611561213993e-4,289.42,115.18,35.67,43.48,77.88,109.14,0.14,0.4230886742427539,0.17662240059066528,0.5737001661453327,0.1719472233446293,NA,NA
SH,2008-09-30T00:00:00Z,0.08,1.9530285517939817e-4,286.93,111.07,35.23,35.81,79.14,113.33,0.16,0.3598213142794846,0.16706494114015677,0.634259989821943,0.16463318832591595,NA,NA
SH,2008-10-01T00:00:00Z,0.08,2.0907761075745885e-4,264.47,102.84,34.8,35.81,73.03,109.52,0.09,0.3449756191611697,0.17418243781400877,0.6554988773980858,0.16790421494862526,NA,NA
SH,2008-10-02T00:00:00Z,0.08,1.9260304229359572e-4,276.95,102.84,35.67,33.25,79.97,113.69,0,0.33009757615440155,0.1650471484322763,0.6689978362103026,0.16460654853385281,NA,NA
SH,2008-10-03T00:00:00Z,0.08,1.8797582328639406e-4,261.98,94.61,33.06,30.69,81.21,116.06,0.12,0.3220774230098227,0.18213969371399008,0.6692401008193882,0.183189744265868,NA,NA
SH,2008-10-04T00:00:00Z,0.08,2.049704218106996e-4,266.97,94.61,33.06,30.69,83.62,117.84,0.14,0.30294291236223947,0.16408248494616248,0.6959411583476541,0.15697124135237586,NA,NA
SH,2008-10-05T00:00:00Z,0.08,1.2423643335262346e-4,266.97,94.61,32.62,28.13,82.82,119.74,0.15,0.28173525374860087,0.15865289647369518,0.7133345504109789,0.15577811338774675,NA,NA
SH,2008-10-06T00:00:00Z,0.08,9.115628252797068e-5,271.96,90.5,32.62,28.13,83.05,118.81,2.94,0.28387611080202924,0.1546953855840192,0.7122653091055278,0.15223594259518738,NA,NA
SH,2008-10-07T00:00:00Z,0.08,7.608506947498714e-5,276.95,94.61,33.06,28.13,107.78,119.7,4.54,0.1730138679925249,0.0861771673076215,0.8117679944476937,0.08525844022863162,NA,NA
SH,2008-10-08T00:00:00Z,0.08,9.974601340824332e-7,279.44,94.61,33.06,30.69,83.92,115.82,0.26,0.3196744961850932,0.169889041087489,0.6638216576846957,0.1772603888164721,NA,NA
